"date","username","tweet"
"2014-09-11","siatamedellin","lluvias de acumulado elevado e intensidad leve en medellin comuna laureles estadio carlos restrepo 34.3mm 0.0mm hr"
"2014-09-11","valoraanalitik","segunda sesiã n de nuestro curso anã lisis tã cnico en medellã­n presencial http nxtghce9zn"
"2014-09-11","yesikbetancourt","a cortesia de sofia quien dijo soledad en cama hermosa mi chiquis coldnigth medallo http fankat011g"
"2014-09-14","ama_yrani","ferrari testarossa cc tesoro medellin luxury colombia life goodlife luxurylifecolombia follow stinghd pyt http ztq3k206eu"
"2014-09-14","blancam88845427","sonymusicvzla chayannemusic te esperamos medellin colombia"
"2014-09-14","blanco_sahara","ferrari testarossa cc tesoro medellin luxury colombia life goodlife luxurylifecolombia follow stinghd pyt http rjcjn0xa8b"
"2014-09-14","carlosmonroyman","saludos a coninsaramonh gracias por la oportunidad que me dieron en pertenecer empresa mejor inmobiliaria de medellin"
"2014-09-14","contremed","el valor d la amistad es invaluable cosechar cosas lindas parte de lo q se siembra quã dichosa soy tener amigos gracias medellin"
"2014-09-14","el_pulpoo","gente que conozca el tolima a cuantas horas esta la vereda laguna san luis si salgo desde medellin gracias"
"2014-09-14","fpc_live","nacional gano el clasico paisa a medellin pero sigue fuera de los"
"2014-09-14","jhonbogotano","pinocalad poca gente en el estadio â por quã cree que la no va a los partidos o clasicos 16mil bogota y medellin"
"2014-09-14","laurabarreraoro","lindassss la medellã­n http l5y92ctx9f"
"2014-09-14","lenismiguel","y el jueves pa medallo niã o"
"2014-09-14","motax12","santiago20_11 acabe de mirar su pagina facebook y no va ir a medellã­n solo neiva bucaramanga cali cartagena bogota tulua"
"2014-09-14","octavioregalado","quiã n anda de medellin por aquã­"
"2014-09-14","pablojpcorrea62","medellin colombia urfcaq5xub"
"2014-09-14","padilla_angela","ya te extraã o angel_manjon_o las palmas medellin http v7urseiof2"
"2014-09-14","periodistica","i'm at fiesta del libro y la cultura in medellã­n antiã quia cw3cpf8asj"
"2014-09-14","pipebrave","listos para gozarnos medellã­n http vo9zb8rtha"
"2014-09-14","restrepoluis","cutemarieclaire toco lo de medellin es cute"
"2014-09-14","rnuevomilenio","encicla presentã nuevas bicicletas para medellã­n http eckihcno68"
"2014-09-14","roberta1herrera","ferrari testarossa cc tesoro medellin luxury colombia life goodlife luxurylifecolombia follow stinghd pyt http 1g25fpwprb"
"2014-09-14","running_col","el que es caballero repite juan carlos cardona y su segundo triunfo en lã­nea medellã­n http eujodczqdf"
"2014-09-17","__cristianyepes","malparidos care locos del medellin como me van a tarbaniar esk lones y caã a brava zoo medellin"
"2014-09-17","_criistiiandc","sabado de septiembre en medellin y madero centro tabasco equipo a http h9jntcqfts sabado de septiembre en medellin y madero centro tabasco equipo a http rfvepylc8o"
"2014-09-17","_liberte_l","uno que me de mil para ir al congreso medellã­n"
"2014-09-17","10ames10","navarrowolff omitiã comentarnos los nexos del m con el cartel de medellã­n y negocio holocausto palacio justicia"
"2014-09-17","757livesports","en copa medellã­n quiere revertir la serie contra tolima futbolred http csda8obbq0"
"2014-09-17","abogadohurtado","la mera expectativa de crecer ciudad hacia adentro ya ha introducido un factor alteraciã n en el mercado inmobiliario medellã jamã s ninguna ciudad tendrã atraso vial en las ciudades vias o ampliaciones serã n suficientes medellã potmedellã­n"
"2014-09-17","adolfomarti","santonistore ropa americana moda colombia medellin http 77lzbvj8yy"
"2014-09-17","alcaldiademed","eddas7 edgar estamos al frente de los problemas del centro medellã­n http bvbhb9rutj su informaciã n es vital para revisar kuvalejo alejandro no vamos a dejar que ganen los violentos redoblamos ataque la delincuencia en medellã­n http kmr8k6htgf medellã­n tendrã la primera escuela de diseã o carã cter pãºblico noticia telemedellã­n http 8iiv9ifgzz"
"2014-09-17","aleja2c","medallo hermosa mi ciudad http uxzscn9hvh"
"2014-09-17","amparoortegab","eltiempo navarro nos cuenta la historia del m19 pablo escobar los pepes dea cartel de medellin cali farc paras y"
"2014-09-17","anacataosorio","quiero muchos fiestadellibro jardã­n botã nico joaquã­n antonio uribe in medellã­n antioquia buuaevr8xv"
"2014-09-17","ander_mero","gra n pezzutig la hinchada mas de colombia nunca olvidara tantas alegrias saludo desde medellin"
"2014-09-17","appsmovilesco","ticdigital webcongress medellã­n inspiraciã n entrenamiento networking en un solo lugar http d2h1wa3vua vb14aucs0j"
"2014-09-17","bryanreyesm25","grupo niche listo medellin http bkcw5xda1r vã­a youtube"
"2014-09-17","cafeina9","i'm at centro comercial santafã santafemedellin in medellã­n antioquia pckfuccjzh"
"2014-09-17","cristiangoza","itm_medellin es insoportable el calor en las aulas de cã mputo fraternidad necesitamos mejor ventilaciã n y q no cierren ventanas"
"2014-09-17","dack47","lmcookie_ jajaja que bueno espero conocer medallo esa voz oscura de motorama jaja por algo son los joy division rusia â un gusto"
"2014-09-17","dfurbanomusic","quien vive por medellin muy pronto alla necesito compaã ia jajaja"
"2014-09-17","dim_oficial","calienta el medallo dale si decã­s que poderoso remonta hoy vamosmedellã­n tolimavsdim http bimen3muiv hace reconocimiento de cancha el medallo vamos por la remontada vamosmedellã­n tolimavsdim http thyharjvlg"
"2014-09-17","dmvcastacasta","carlosdzgrana2 cuando vuelves por medellin"
"2014-09-17","e_pymes","ticdigital webcongress medellã­n inspiraciã n entrenamiento networking en un solo lugar http ajyzfgtiv8 67a8x2cpbh"
"2014-09-17","edencanty","megan medellin http g3h0wd2sdn boobs"
"2014-09-17","emtelco","argentina y chile se interesan por el distrito de innovaciã n en medellã­n vã­a caracolradio http tm2xfcskg2"
"2014-09-17","estebanhc_","mi vida entera te la doy medellin vamos que si se puede http olcpw6bdir"
"2014-09-17","fabiostarita","conociendo a luciana la ameeee ðÿ â vanepelaez1 sebasm1 medellin âœˆâœˆâœˆâœˆ http 11navpwdsf"
"2014-09-17","fabroart","acã les comparto las caricaturas que hice el fin de semana en la fiesta del libro medellã­n http ttwdpsizsu"
"2014-09-17","garcia_r3hab","tengo dos opciones una irme a vivir medellin y terminar el estudio aya o prestar servicio"
"2014-09-17","gatafranca","la cia obviamente ya sabã­a que uribe era cã mplice del cartel de medellã­n ellos saben todo hasta quã color son sus calzones hoy"
"2014-09-17","geniladogomez","mejorrecordln aãºn recordamos el hit de oro edgar renterã­a en la serie mundial que ganaron los marlins reginaldo gomez desde medellin"
"2014-09-17","giraldonarrador","la copa postobon dep tolima vs medellin x cariã osa ibague transmision con los dueã os del balon estamos al aire"
"2014-09-17","gloriacuh","desaparecida en el centro de medellã­n dã­a septiembre se agradece informaciã n ver foto http n3zciygkqa"
"2014-09-17","guigohinojosa","cablenoticias navarrowolff acusa a cartel de medellin desestabilizar con terror al estado y olvida q ã l el m 19n fueron sus aliados"
"2014-09-17","haz_eb","el sã bado por primera vez conocerã medellin no estarã­a completa mi visita si me encontrara a paisavlogs ojala lo pueda ver d"
"2014-09-17","hernan1913","vamos medallo que hoy ganamos vamosmedellin"
"2014-09-17","imorlandomp","por las calles de medellin http pqzfwplvvn"
"2014-09-17","jazzon56","noticiasrcn navarro kn m19 fuiste aliado del cartel de medellin y cali nada ke hablar"
"2014-09-17","jhonarango_r","de nov uno los dj's mas importantes del mundo aqui en medellin el italiano napolipaisano josephcapriati http kiebxczetr"
"2014-09-17","jose_mcjr","de octubre crack family en medellã­n n25oag0xqc http 5z7mh2jaug solo faltan dã­as para el concierto de este maestro en medellã­n 64dn3ivfcn http nnuxtamlum"
"2014-09-17","kendallvelezh","alcaldiademed medellã­n tendrã la primera escuela de diseã o carã cter pãºblico noticia telemedellã­n http 5bng1puyea"
"2014-09-17","la_vivi5","ganga renault barato negociables medellã­n auto veiculos http oduk4fvlws vã­a qb_colombia"
"2014-09-17","lauriantequera","miren que locura pasiã n este es el glorioso junior viajo a medallo y saliã campeã nðÿžµðÿžµ"
"2014-09-17","leonetco","ticdigital webcongress medellã­n inspiraciã n entrenamiento networking en un solo lugar http 8cv1uvhveg xfhb9i2coh"
"2014-09-17","ligamxexpansion","alineaciã n estualtamira mejã­a morales palafox robledo sã nchez martã­n gonzã lez dos santos medellã­n castro d.t.orduã a"
"2014-09-17","litchemedellinc","pattopareja el de los comerciantes medellã­n reconoce ser vã­ctima http 9673k9ln4s litchepuntocom"
"2014-09-17","luchovasquez07","mã s que un show es vivir una experiencia wilfrancastillo este viernes en medellin carito_llerasâ http gemuqcremx"
"2014-09-17","magodelasintoni","pido la palabra ahora si se convence uno que habã­a nexos entre el m19 y cartel de medellã­n con intervenciã n everth bustamante"
"2014-09-17","malestd12","ese es el glorioso junior que viajã a medallo y salio campeã nâ manda"
"2014-09-17","mariateherran","navarro coloca con razã n al cartel de medellã­n en primer lugarâ pero y las responsabilidades la clase polã­tica"
"2014-09-17","medallo_dim","copapostobon la nã mina de poderosos que buscarã esta noche darle vuelta a serie vs deportes tolima en su http fuwkzzkt80"
"2014-09-17","monicamhq","viajerofrecuente avianca demora calico medellin"
"2014-09-17","motax12","vamos river plate medellã­n"
"2014-09-17","mpcosgaya_coach","si estã s en medellã­n colombia y pensando potenciar todas tus fortalezas superar obstã culos llegar http fgz2em5vs4"
"2014-09-17","nauseabunda_","morenosbz jajajajaja tartel de medellin"
"2014-09-17","noticiasrcn","autoridades buscan en la comuna de medellã­n fosas comunes con vã­ctimas delincuencia comãºn http hobz1dkgrk"
"2014-09-17","notimodelos","diseã os de pã ginas web o desarrollo sitios en medellã­n http 88juqytc1b"
"2014-09-17","nxrrysdesire","siento wue mi columna en estos.momentos es algo parecido a la carretera medellin ou"
"2014-09-17","ojvg291178","conduciendo hacia medellã­n hora estimada de arribo pm con el gps social waze_es"
"2014-09-17","oncetitular","el oncetitular de estualtamira mejã­a morales palafox robledo sã nchez martã­n gonzã lez dos santos medellã­n castro"
"2014-09-17","partequipos","nuestros repuestos y maquinaria en feriaminera2014 plaza mayor medellã­n stand207 pabellã n amarillo"
"2014-09-17","radiodigitalco","ticdigital webcongress medellã­n inspiraciã n entrenamiento networking en un solo lugar http ouvsslxkcd clhmcqyyqa"
"2014-09-17","rebeca_medellin","ya le quiero contarðÿ"
"2014-09-17","santibohorquez8","quã buen dã­a lleno de aprendizaje te extraã amos carolinaherdz queremos aquã­ en medellã­n conâ http s8p4b43lda"
"2014-09-17","simonenrique_21","se acabo el cartel de cali medellin solo falta caer la narcopolitica junto a alvarouribevel para q en colombia haya paz"
"2014-09-17","soulcrashed","creo en ti dim ademas malditoaquelquenocreaenlaremontada vamos mi medellin"
"2014-09-17","susymadrig","amaluld la mã s de tedx medellã­n"
"2014-09-17","talento306","les presentamos a esta buena banda de medellin artefactomusica desespero y nueve http wvddb7zmwu"
"2014-09-17","ticdigitalco","ticdigital webcongress medellã­n inspiraciã n entrenamiento networking en un solo lugar http eakcso1ape tnyxuriulg"
"2014-09-17","trendoamde","colombia is trending topic now in medellã­n with tweets per minute http ovuqpluldy"
"2014-09-17","tudnlive","alineaciã n altamira mejã­a palafox martã­n sã nchez morales castro robledo medellã­n m gonzã lez r y cã sar dos santos"
"2014-09-17","universo_altern","es que medellã­n una chimba ome"
"2014-09-17","vargasgracia","con las intervenciones que he visto y escuchado hoy uno podrã­a pensar el cedemocratico naciã del cartel de medellin el cartel de medellin mato tres candidatos presidenciales navarrowolff"
"2014-09-17","vitrinapymenet","ticdigital webcongress medellã­n inspiraciã n entrenamiento networking en un solo lugar http sbykhvfw4z 83jfi4e7j8"
"2014-09-20","45yeyis","my city medellin antioquia http uu5trldec6 medellin antioquia lo mejor http wklyagxylw"
"2014-09-20","acruisingcouple","took advantage of the sunny morning to explore downtown medellin rafael uribe palace culture not http vwyj3v824i"
"2014-09-20","alcaldiademed","esta noche disfrute la gastronomã­a que medellã­n tiene para deleitar su paladar http dqf6emmcgb ciudadparalavida"
"2014-09-20","alejagonzalez","necesito ayuda por cuestiones laborales me pueden decir porfa como estã el clima en cali medellã­n cartagena etc asistencia colombia"
"2014-09-20","alphia","cierres viales previstos para este fin de semana en medellã­n http yyvkye2asn"
"2014-09-20","alzatejuandavid","viajando a medellin celebrar amor y amistad volando http 24j6bbkuzb"
"2014-09-20","andreccandace","amo mi microdermal mitotattoo perforations happy love cute medellin colombiaâ http 5p0cj6f2wu"
"2014-09-20","breensiim","burlesque lt presentaciã n cero nervios brenda medellin wenmdz jxqlgajfrq"
"2014-09-20","carly__medellin","mazzi_maz theres no tiolet paper what do i"
"2014-09-20","catalojara88","â serã que mientras esperamos la lacacerã­adetrinos fdbedout le encontramos un hogar a eliot medellã­n adoptaaeliot http u3mmrybksv"
"2014-09-20","cmrau","en la feria del libro medellin http rtb4w2q7ii"
"2014-09-20","colombiavzlanos","la revista qâ gol ya esta en internet visita su pã gina webâ http jb9lbj3mouâ colombiaâ bogotaâ barranquillaâ caliâ medellinâ"
"2014-09-20","diegodrexler","por salir a tocar en la feria del libro de medellã­n llueve y gente se queda con paraguas pilots para ver"
"2014-09-20","dilumuve78","767buenas noches como esta la vã­a linea para tomar esa ruta a medellin"
